Title,Date,Is_Series,Series_Name,Episode_Title,Season,Year,Month,Day,Day_of_Week,Is_Weekend,Genres,Release_Year,Original_Language,Popularity,Rating,Total_Episodes
Young Sheldon: 2. Sezon: Yaşanamamış Bir Çocukluk ve Bir Kutu Karışık Çerez,2024-11-21,True,Young Sheldon,Yaşanamamış Bir Çocukluk ve Bir Kutu Karışık Çerez,2.0,2024.0,11.0,21.0,Thursday,False,"Comedy, Family, Drama",2017.0,en,547.14,8.1,145.0
Young Sheldon: 2. Sezon: Aile Dinamikleri ve Kırmızı Bir Fiero,2024-11-21,True,Young Sheldon,Aile Dinamikleri ve Kırmızı Bir Fiero,2.0,2024.0,11.0,21.0,Thursday,False,"Comedy, Family, Drama",2017.0,en,547.14,8.1,145.0
Young Sheldon: 2. Sezon: 8 Bitlik Prenses ve Patlak Lastik Dâhisi,2024-11-20,True,Young Sheldon,8 Bitlik Prenses ve Patlak Lastik Dâhisi,2.0,2024.0,11.0,20.0,Wednesday,False,"Comedy, Family, Drama",2017.0,en,547.14,8.1,145.0
Young Sheldon: 2. Sezon: Radyokarbon Sınıflandırma ve Doldurulmuş Rakun,2024-11-20,True,Young Sheldon,Radyokarbon Sınıflandırma ve Doldurulmuş Rakun,2.0,2024.0,11.0,20.0,Wednesday,False,"Comedy, Family, Drama",2017.0,en,547.14,8.1,145.0
Young Sheldon: 2. Sezon: Yedi Ölümcül Günah ve Küçük Bir Carl Sagan,2024-11-18,True,Young Sheldon,Yedi Ölümcül Günah ve Küçük Bir Carl Sagan,2.0,2024.0,11.0,18.0,Monday,False,"Comedy, Family, Drama",2017.0,en,547.14,8.1,145.0
Young Sheldon: 2. Sezon: Araştırma Çalışması ve Çekoslovak Düğün Pastaları,2024-11-18,True,Young Sheldon,Araştırma Çalışması ve Çekoslovak Düğün Pastaları,2.0,2024.0,11.0,18.0,Monday,False,"Comedy, Family, Drama",2017.0,en,547.14,8.1,145.0
Young Sheldon: 2. Sezon: Mali Bir Sır ve Balık Sosu,2024-11-18,True,Young Sheldon,Mali Bir Sır ve Balık Sosu,2.0,2024.0,11.0,18.0,Monday,False,"Comedy, Family, Drama",2017.0,en,547.14,8.1,145.0
Young Sheldon: 2. Sezon: İnanç Krizi ve Ahtapot Uzaylılar,2024-11-18,True,Young Sheldon,İnanç Krizi ve Ahtapot Uzaylılar,2.0,2024.0,11.0,18.0,Monday,False,"Comedy, Family, Drama",2017.0,en,547.14,8.1,145.0
Friends: 9. Sezon: İlk Buluşma,2024-11-18,True,Friends,İlk Buluşma,9.0,2024.0,11.0,18.0,Monday,False,Comedy,1994.0,en,500.812,8.4,267.0
Young Sheldon: 2. Sezon: Rakip Deha ve Sir Isaac Neutron,2024-11-18,True,Young Sheldon,Rakip Deha ve Sir Isaac Neutron,2.0,2024.0,11.0,18.0,Monday,False,"Comedy, Family, Drama",2017.0,en,547.14,8.1,145.0
Young Sheldon: 2. Sezon: Tiz Uğultu ve Destek Tekerleri,2024-11-17,True,Young Sheldon,Tiz Uğultu ve Destek Tekerleri,2.0,2024.0,11.0,17.0,Sunday,True,"Comedy, Family, Drama",2017.0,en,547.14,8.1,145.0
Jake Paul vs. Mike Tyson,2024-11-16,False,Jake Paul vs. Mike Tyson,,,2024.0,11.0,16.0,Saturday,True,Action,2024.0,en,186.035,6.227,
Young Sheldon: 1. Sezon: Pilot Bölüm,2024-11-08,True,Young Sheldon,Pilot Bölüm,1.0,2024.0,11.0,8.0,Friday,False,"Comedy, Family, Drama",2017.0,en,547.14,8.1,145.0
Suspicious Partner: Mini Dizi: 20. Bölüm,2024-11-08,True,Suspicious Partner,20. Bölüm,,2024.0,11.0,8.0,Friday,False,"Comedy, Crime, Drama",2017.0,ko,136.352,7.8,40.0
